target,source
0,1
0,2
0,43
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,44
1,45
1,47
1,48
1,49
1,51
1,52
1,54
1,56
1,67
1,70
1,86
1,90
1,92
1,99
1,106
1,109
1,118
1,119
1,120
1,122
1,126
1,134
1,135
1,138
1,139
1,140
1,148
1,150
1,151
2,3
2,6
2,7
2,9
2,11
2,12
2,14
2,15
2,20
2,23
2,25
2,28
2,29
2,30
2,32
2,36
2,38
2,41
2,43
2,45
2,46
2,47
2,48
2,49
2,50
2,51
2,52
2,53
2,54
2,55
2,56
2,66
2,67
2,68
2,90
2,92
2,109
2,132
2,144
2,148
2,151
2,208
3,4
3,12
3,15
3,24
3,25
3,27
3,29
3,30
3,37
3,38
3,45
3,47
3,49
3,54
3,56
3,64
3,65
3,66
3,67
3,68
3,69
3,70
3,99
3,121
3,148
3,159
3,185
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,12
4,14
4,15
4,16
4,17
4,21
4,22
4,24
4,25
4,26
4,27
4,28
4,29
4,30
4,31
4,32
4,33
4,34
4,40
4,45
4,46
4,47
4,49
4,50
4,51
4,52
4,53
4,54
4,55
4,66
4,67
4,68
4,70
4,71
4,77
4,79
4,83
4,89
4,90
4,91
4,92
4,97
4,98
4,99
4,100
4,101
4,102
4,103
4,104
4,105
4,106
4,107
4,108
4,109
4,110
4,113
4,115
4,116
4,118
4,119
4,120
4,121
4,133
4,138
4,142
4,145
4,148
4,151
4,159
4,171
4,172
4,178
4,181
5,6
5,7
5,8
5,9
5,10
5,11
5,12
5,14
5,15
5,22
5,24
5,26
5,27
5,28
5,29
5,30
5,31
5,32
5,45
5,46
5,47
5,48
5,49
5,55
5,56
5,66
5,68
5,86
5,90
5,92
5,98
5,100
5,101
5,102
5,103
5,119
5,120
5,132
5,134
5,135
5,136
5,138
5,142
5,143
5,145
5,148
5,156
5,158
5,164
5,173
6,8
6,10
6,11
6,12
6,15
6,16
6,17
6,18
6,20
6,25
6,26
6,28
6,29
6,31
6,32
6,33
6,34
6,35
6,36
6,38
6,45
6,46
6,47
6,48
6,49
6,51
6,52
6,53
6,54
6,55
6,56
6,66
6,67
6,70
6,77
6,81
6,86
6,90
6,92
6,99
6,105
6,106
6,108
6,109
6,115
6,118
6,120
6,142
6,148
6,150
6,151
6,158
6,159
6,160
6,163
6,164
6,166
6,173
6,181
7,8
7,9
7,11
7,12
7,14
7,15
7,20
7,22
7,24
7,25
7,27
7,28
7,29
7,30
7,33
7,36
7,38
7,39
7,45
7,47
7,48
7,49
7,52
7,53
7,55
7,56
7,66
7,67
7,77
7,90
7,92
7,99
7,100
7,101
7,109
7,114
7,119
7,120
7,121
7,123
7,132
7,143
7,144
7,148
7,156
7,157
7,159
7,161
7,166
7,175
7,185
8,10
8,11
8,12
8,13
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,26
8,27
8,28
8,29
8,32
8,34
8,36
8,37
8,38
8,40
8,42
8,45
8,48
8,49
8,50
8,51
8,52
8,53
8,56
8,66
8,67
8,70
8,85
8,92
8,98
8,99
8,103
8,106
8,112
8,113
8,118
8,120
8,122
8,139
8,141
8,148
8,151
8,152
8,154
8,155
8,160
8,168
8,169
8,170
8,186
8,205
9,10
9,11
9,12
9,14
9,15
9,16
9,17
9,19
9,20
9,24
9,25
9,26
9,27
9,28
9,29
9,30
9,32
9,33
9,35
9,36
9,38
9,39
9,45
9,47
9,48
9,49
9,51
9,52
9,53
9,54
9,55
9,56
9,66
9,67
9,68
9,70
9,74
9,77
9,81
9,86
9,90
9,92
9,93
9,95
9,99
9,100
9,106
9,109
9,116
9,118
9,119
9,120
9,121
9,126
9,132
9,135
9,139
9,142
9,143
9,145
9,148
9,149
9,150
9,151
9,158
9,163
9,164
9,171
10,11
10,12
10,14
10,16
10,17
10,18
10,19
10,20
10,21
10,24
10,27
10,28
10,32
10,37
10,38
10,40
10,42
10,48
10,50
10,51
10,52
10,53
10,55
10,56
10,67
10,70
10,77
10,90
10,92
10,99
10,106
10,119
10,120
10,132
10,135
10,139
10,141
10,148
10,149
10,150
10,151
10,155
10,163
11,12
11,15
11,16
11,17
11,20
11,28
11,29
11,30
11,32
11,33
11,34
11,35
11,36
11,38
11,45
11,51
11,53
11,55
11,56
11,66
11,77
11,86
11,90
11,99
11,100
11,108
11,109
11,119
11,120
11,142
11,145
11,148
11,150
11,151
11,158
11,163
11,164
11,218
12,13
12,14
12,15
12,16
12,17
12,19
12,20
12,21
12,22
12,24
12,25
12,26
12,27
12,28
12,29
12,30
12,32
12,33
12,36
12,38
12,40
12,45
12,46
12,47
12,48
12,49
12,51
12,52
12,53
12,54
12,55
12,56
12,66
12,67
12,68
12,70
12,74
12,76
12,77
12,78
12,79
12,81
12,85
12,86
12,90
12,92
12,99
12,102
12,106
12,109
12,110
12,111
12,112
12,113
12,114
12,115
12,116
12,117
12,118
12,120
12,121
12,122
12,123
12,124
12,126
12,132
12,138
12,140
12,142
12,143
12,144
12,148
12,150
12,151
12,153
12,156
12,158
12,159
12,160
12,161
12,162
12,163
12,164
12,166
12,175
12,178
12,179
12,185
13,14
13,15
13,16
13,17
13,18
13,21
13,27
13,28
13,32
13,46
13,51
13,53
13,55
13,76
13,78
13,93
13,103
13,106
13,110
13,111
13,112
13,113
13,115
13,116
13,118
13,122
13,124
13,141
13,142
13,148
13,151
13,153
13,154
13,160
13,172
13,178
13,179
13,186
13,187
14,15
14,17
14,19
14,20
14,25
14,27
14,28
14,30
14,32
14,33
14,34
14,36
14,38
14,45
14,46
14,47
14,48
14,52
14,53
14,55
14,56
14,66
14,67
14,76
14,77
14,78
14,79
14,91
14,97
14,98
14,100
14,101
14,102
14,103
14,105
14,106
14,108
14,109
14,110
14,112
14,113
14,115
14,116
14,117
14,118
14,119
14,120
14,124
14,125
14,134
14,135
14,141
14,142
14,143
14,144
14,145
14,146
14,148
14,152
14,163
14,166
14,176
14,178
14,179
15,17
15,19
15,20
15,22
15,24
15,25
15,26
15,27
15,28
15,29
15,30
15,32
15,33
15,34
15,36
15,38
15,40
15,45
15,46
15,47
15,48
15,49
15,52
15,53
15,54
15,55
15,66
15,67
15,68
15,70
15,76
15,77
15,78
15,79
15,85
15,86
15,90
15,92
15,104
15,105
15,106
15,109
15,111
15,112
15,113
15,114
15,115
15,116
15,117
15,118
15,119
15,120
15,121
15,123
15,124
15,132
15,142
15,143
15,144
15,148
15,151
15,152
15,153
15,156
15,159
15,161
15,162
15,163
15,164
15,166
15,172
15,175
15,176
15,178
15,179
15,185
16,17
16,18
16,19
16,20
16,21
16,23
16,26
16,28
16,32
16,48
16,50
16,51
16,52
16,56
16,67
16,70
