target,source
16,85
16,90
16,92
16,105
16,106
16,115
16,120
16,142
16,148
16,149
16,150
16,151
16,154
16,155
16,166
16,168
16,171
17,18
17,19
17,20
17,21
17,22
17,23
17,24
17,26
17,27
17,28
17,29
17,32
17,35
17,36
17,37
17,38
17,40
17,42
17,46
17,48
17,49
17,50
17,51
17,52
17,53
17,54
17,56
17,66
17,67
17,70
17,81
17,90
17,92
17,101
17,106
17,113
17,120
17,146
17,148
17,150
17,155
17,159
17,160
17,168
18,19
18,23
18,30
18,32
18,36
18,38
18,40
18,122
18,134
18,141
18,142
18,144
18,146
18,150
18,154
18,155
18,160
18,186
19,21
19,26
19,27
19,29
19,30
19,40
19,46
19,50
19,52
19,53
19,55
19,67
19,70
19,78
19,81
19,92
19,93
19,100
19,102
19,106
19,109
19,120
19,121
19,122
19,134
19,135
19,141
19,142
19,143
19,144
19,146
19,150
19,155
19,163
19,169
19,182
20,21
20,22
20,23
20,24
20,25
20,26
20,27
20,28
20,29
20,30
20,31
20,32
20,34
20,35
20,37
20,40
20,45
20,46
20,49
20,50
20,51
20,52
20,53
20,54
20,55
20,66
20,67
20,68
20,70
20,77
20,90
20,91
20,92
20,93
20,94
20,97
20,99
20,100
20,103
20,104
20,105
20,106
20,109
20,113
20,114
20,115
20,118
20,120
20,121
20,138
20,144
20,148
20,151
20,158
20,159
20,163
20,164
20,167
20,171
20,172
20,181
21,23
21,26
21,36
21,37
21,40
21,48
21,50
21,53
21,70
21,78
21,81
21,92
21,93
21,106
21,116
21,117
21,120
21,146
21,150
21,154
21,155
21,163
21,168
21,169
22,24
22,25
22,26
22,27
22,30
22,33
22,34
22,46
22,47
22,49
22,53
22,55
22,56
22,67
22,68
22,105
22,106
22,119
22,134
22,144
22,154
22,156
22,159
22,166
23,36
23,40
23,56
23,109
23,146
23,148
23,154
23,155
23,168
23,169
24,25
24,27
24,28
24,29
24,30
24,31
24,32
24,45
24,46
24,47
24,48
24,49
24,51
24,52
24,53
24,54
24,55
24,56
24,66
24,68
24,92
24,97
24,100
24,101
24,102
24,115
24,119
24,120
24,132
24,134
24,135
24,138
24,148
24,156
24,157
24,166
25,27
25,28
25,29
25,30
25,32
25,36
25,38
25,45
25,46
25,47
25,48
25,49
25,53
25,54
25,55
25,56
25,66
25,67
25,68
25,72
25,74
25,77
25,90
25,92
25,97
25,99
25,109
25,114
25,118
25,119
25,120
25,121
25,132
25,143
25,148
25,151
25,155
25,161
25,164
26,29
26,30
26,31
26,33
26,35
26,36
26,38
26,40
26,46
26,47
26,48
26,50
26,52
26,53
26,55
26,56
26,66
26,67
26,77
26,79
26,81
26,90
26,91
26,92
26,93
26,99
26,106
26,108
26,115
26,116
26,118
26,152
26,158
26,163
26,164
26,167
26,171
26,172
26,184
26,201
27,28
27,29
27,30
27,33
27,36
27,39
27,40
27,45
27,46
27,47
27,48
27,49
27,51
27,52
27,53
27,54
27,55
27,56
27,66
27,67
27,68
27,77
27,86
27,90
27,92
27,97
27,98
27,99
27,100
27,101
27,102
27,106
27,107
27,109
27,119
27,120
27,121
27,130
27,132
27,133
27,135
27,136
27,137
27,138
27,139
27,140
27,144
27,145
27,148
27,150
27,151
27,156
27,163
28,29
28,30
28,32
28,33
28,36
28,45
28,46
28,48
28,49
28,51
28,52
28,53
28,54
28,55
28,56
28,66
28,67
28,70
28,74
28,77
28,90
28,92
28,99
28,100
28,105
28,106
28,109
28,120
28,121
28,135
28,148
28,150
28,151
28,158
28,164
28,202
29,30
29,31
29,32
29,33
29,34
29,36
29,40
29,45
29,46
29,47
29,48
29,49
29,51
29,52
29,53
29,54
29,55
29,56
29,66
29,67
29,77
29,86
29,90
29,92
29,97
29,99
29,100
29,101
29,102
29,106
29,107
29,109
29,118
29,119
29,120
29,121
29,132
29,133
29,134
29,135
29,138
29,139
29,140
29,142
29,143
29,144
29,145
29,148
29,150
29,151
29,164
29,173
30,32
30,33
30,36
30,39
30,45
30,47
30,48
30,49
30,51
30,52
30,54
30,56
30,66
30,67
30,86
30,90
30,92
30,98
30,99
30,100
30,101
30,102
30,119
30,120
30,121
30,132
30,134
30,135
30,140
30,141
30,142
30,143
30,144
30,145
30,146
30,148
30,150
30,151
30,157
30,158
31,33
31,34
31,35
31,36
31,38
31,48
31,51
31,53
31,55
31,56
31,66
31,86
31,90
31,99
31,100
31,101
31,108
31,109
31,119
31,133
31,135
31,138
31,145
31,158
31,163
31,164
31,167
31,181
31,184
32,33
32,34
32,36
32,42
32,45
32,46
32,51
32,54
32,55
32,56
32,77
32,90
32,98
32,100
32,102
32,103
32,120
32,122
32,130
32,132
32,134
32,139
32,141
32,144
32,148
32,151
32,154
32,155
32,160
32,163
32,205
33,34
33,36
33,38
33,39
33,40
33,46
33,47
33,48
33,49
33,51
33,52
33,53
33,54
33,55
33,56
33,66
33,67
33,74
33,77
33,86
33,90
33,92
33,97
33,98
33,99
33,100
33,101
33,102
33,106
33,109
33,114
33,119
33,122
33,130
33,131
33,133
33,134
33,135
33,136
33,137
33,138
33,139
33,140
33,143
33,145
33,147
33,148
33,150
33,151
33,163
33,166
34,36
34,45
34,47
34,48
34,49
34,54
34,55
34,56
34,66
34,67
34,77
34,90
34,99
34,100
34,101
34,102
34,103
34,109
34,122
34,132
34,134
34,143
34,144
34,145
34,148
35,36
35,38
35,48
35,51
35,53
35,67
35,90
35,92
35,100
35,101
35,106
35,144
35,158
35,163
35,164
35,167
36,47
36,49
36,51
36,52
36,53
36,54
36,55
36,66
36,67
36,90
36,92
36,99
36,100
36,101
36,102
36,106
36,108
36,109
36,116
36,118
36,119
36,120
36,122
36,134
36,135
36,138
36,140
36,141
36,142
36,143
36,144
36,145
36,146
36,148
36,150
36,151
36,155
36,158
36,160
36,163
36,164
36,167
36,172
36,186
37,38
37,41
37,51
37,65
37,70
37,99
37,109
37,139
37,148
37,163
37,199
38,40
38,41
38,42
38,44
38,47
38,52
38,53
38,54
38,55
38,65
38,66
38,67
38,70
38,71
38,72
38,74
38,75
38,78
38,79
38,81
38,82
38,84
38,85
38,89
38,91
38,92
38,93
38,94
38,95
38,99
38,106
38,108
38,126
38,144
38,146
38,148
38,158
38,163
38,164
38,167
38,168
38,171
38,180
38,181
38,182
38,183
38,184
38,192
38,195
38,197
38,199
38,208
39,40
39,47
39,49
39,51
39,56
39,90
39,98
39,99
39,101
39,102
39,103
39,121
39,132
39,133
39,134
39,135
39,136
39,137
39,138
39,139
39,140
39,144
40,47
40,49
40,50
40,51
40,53
40,66
40,67
40,70
40,90
40,92
40,99
40,101
40,102
40,106
40,120
40,133
40,134
40,135
40,137
40,139
40,140
40,145
40,146
40,148
40,159
40,168
40,169
41,43
41,44
41,68
41,217
42,64
42,65
42,67
42,68
42,69
42,92
42,120
42,147
42,184
43,44
43,217
44,56
44,57
45,46
45,47
45,48
45,49
45,52
45,53
45,54
45,55
45,56
45,66
45,67
45,86
45,90
45,92
45,98
45,100
45,102
45,103
45,109
45,120
45,130
45,132
45,139
45,141
45,142
45,143
45,145
45,148
45,151
45,154
45,155
45,156
46,48
46,49
46,53
46,54
46,55
46,56
46,66
46,67
46,77
46,86
46,90
46,91
46,92
46,97
46,98
46,101
46,102
46,105
46,106
46,114
46,119
46,120
46,138
46,142
46,143
46,148
46,151
46,152
46,153
46,202
47,48
47,49
47,51
47,52
47,53
47,54
47,55
47,56
47,66
47,67
47,74
47,77
47,86
47,90
47,97
47,98
47,99
47,100
47,101
47,102
47,106
47,109
47,119
47,120
47,130
47,131
47,133
47,134
47,135
47,136
47,137
47,139
47,140
47,143
47,144
47,145
47,147
47,148
47,164
47,218
48,51
48,52
48,53
48,55
48,66
48,67
48,68
48,77
48,81
48,90
48,92
48,93
48,100
48,101
48,102
48,106
48,119
48,120
48,135
48,145
48,148
48,150
48,155
48,158
48,159
48,163
48,164
48,166
48,167
48,172
48,184
49,51
49,53
49,55
49,56
49,66
49,68
49,76
49,77
49,98
49,104
49,106
49,113
49,115
49,116
49,119
49,120
49,122
49,132
49,134
49,139
49,148
49,156
49,159
49,164
49,166
50,51
50,52
50,55
50,56
50,70
50,79
50,81
50,86
50,90
50,91
50,93
50,111
50,112
50,114
50,115
50,117
50,123
50,153
50,169
50,176
50,182
51,52
51,54
51,55
51,56
51,67
51,70
51,77
51,86
51,90
51,92
51,97
51,99
51,102
51,103
51,106
51,109
51,118
51,120
51,121
51,133
51,134
51,135
51,137
51,139
51,140
51,144
51,145
51,146
51,148
51,150
51,151
51,155
51,160
51,164
52,53
52,54
52,55
52,56
52,66
52,67
52,68
52,70
52,79
52,90
52,99
52,100
52,101
52,106
52,118
52,120
52,121
52,122
52,132
52,135
52,140
52,142
52,144
52,148
52,150
52,151
52,152
52,155
52,156
52,166
53,55
53,56
53,66
53,67
53,68
53,70
53,77
53,86
53,90
53,92
53,93
53,97
53,99
53,105
53,106
53,120
53,121
53,138
53,144
53,148
53,151
53,152
53,158
53,163
53,167
53,171
53,172
53,186
54,55
54,56
54,66
54,67
54,68
54,69
54,70
54,77
54,90
54,106
54,109
54,119
54,121
54,132
54,140
54,144
54,148
54,150
54,151
54,202
55,56
55,66
55,67
55,68
55,77
55,81
55,86
55,90
55,92
55,100
55,101
55,102
55,103
55,106
55,107
55,108
55,114
55,116
55,119
55,120
55,122
55,134
55,135
55,138
55,139
55,142
55,143
55,145
55,148
55,151
55,156
55,158
55,186
55,202
56,66
56,67
56,68
56,70
56,77
56,85
56,90
56,91
56,92
56,93
56,94
56,96
56,97
56,98
56,99
56,100
56,101
56,102
56,103
56,105
56,106
56,107
56,108
56,109
56,112
56,113
56,114
56,115
56,118
56,119
56,120
56,121
56,122
56,130
56,133
56,135
56,138
56,142
56,143
56,145
56,148
56,150
56,151
56,153
56,154
56,166
56,167
56,172
56,204
57,58
57,59
57,60
57,61
57,62
57,63
57,129
57,203
58,59
58,60
58,61
58,62
58,63
58,203
59,60
59,61
59,62
59,63
59,203
60,62
60,63
61,62
61,63
61,129
61,203
61,222
62,63
62,129
62,203
63,203
64,65
64,69
65,69
65,70
66,67
66,68
66,90
66,92
66,99
66,100
66,101
66,102
66,106
66,114
66,118
66,119
66,120
66,132
66,134
66,138
66,140
66,142
66,145
66,148
66,158
66,163
66,164
67,68
67,70
67,76
67,77
67,81
67,90
67,91
67,92
67,93
67,99
67,106
67,109
67,116
67,118
67,119
67,120
67,134
67,145
67,148
67,150
67,151
67,152
67,158
67,163
67,172
68,69
68,70
68,99
68,105
68,106
68,121
68,134
68,142
68,147
68,148
68,159
69,126
70,81
70,85
70,90
70,92
70,99
70,106
70,109
70,120
70,142
70,148
70,150
70,151
70,163
70,172
70,185
71,72
71,73
71,74
71,75
71,76
71,77
71,78
71,79
71,80
71,81
71,86
71,90
71,91
71,93
71,94
71,95
71,119
71,168
72,75
72,81
72,82
72,83
72,84
72,85
72,86
72,87
72,88
72,89
72,90
72,91
72,95
72,180
72,181
72,191
72,194
72,195
72,196
72,197
72,198
72,199
73,80
73,217
74,78
74,79
74,81
74,91
74,92
74,93
74,95
74,164
74,171
75,91
75,93
75,94
75,95
75,96
75,171
76,78
76,79
76,104
76,110
76,111
76,112
76,113
76,114
76,115
76,116
76,117
76,118
76,124
76,153
76,166
76,174
76,178
77,86
77,90
77,97
77,99
77,100
77,102
77,109
77,119
77,120
77,121
77,122
77,133
77,139
77,148
77,151
77,163
78,79
78,81
78,85
78,91
78,93
78,110
78,111
78,112
78,113
78,115
78,116
78,117
78,118
78,123
78,124
78,125
78,126
78,127
78,128
78,153
78,157
78,168
78,169
78,174
78,176
78,177
78,178
78,204
78,206
79,81
79,91
79,93
79,104
79,111
79,112
79,113
79,114
79,115
79,116
79,117
79,118
79,123
79,127
79,148
79,168
79,176
80,217
81,82
81,83
81,84
81,86
81,92
81,93
81,106
81,110
81,113
81,116
81,146
81,148
81,153
81,158
81,159
81,163
81,168
81,171
81,172
81,180
81,181
81,182
81,183
81,184
81,194
81,195
81,197
81,199
82,83
82,84
82,86
82,180
82,181
82,191
82,192
82,193
82,194
82,195
82,196
82,197
82,198
82,199
83,84
83,86
83,87
83,88
83,89
83,180
83,181
83,191
83,192
83,193
83,194
83,195
83,196
83,197
83,198
84,87
84,88
84,146
84,180
84,181
84,191
84,192
84,193
84,194
84,195
84,196
84,197
84,198
84,199
85,92
85,163
86,88
86,90
86,92
86,97
86,98
86,99
86,100
86,101
86,102
86,105
86,108
86,109
86,118
86,119
86,121
86,134
86,135
86,137
86,138
86,143
86,145
86,147
86,164
86,173
86,180
86,181
86,191
86,193
86,195
86,196
86,198
87,180
87,191
87,193
87,194
87,195
87,196
87,197
88,181
88,191
88,194
88,195
88,196
88,197
88,198
89,115
89,180
89,191
89,192
89,198
90,91
90,92
90,98
90,99
90,100
90,101
90,102
90,103
90,105
90,106
90,107
90,109
90,120
90,122
90,133
90,134
90,135
90,137
90,138
90,139
90,140
90,145
90,148
90,150
90,151
90,163
90,164
91,93
91,94
91,95
91,105
91,113
91,114
91,116
91,123
91,127
91,128
91,146
91,157
91,167
91,168
91,169
91,171
91,177
91,184
91,204
91,206
92,93
92,106
92,116
92,118
92,119
92,120
92,132
92,142
92,144
92,148
92,150
92,151
92,152
92,155
92,163
92,172
93,94
93,95
93,106
93,112
93,114
93,115
93,127
93,128
93,146
93,152
93,153
93,157
93,166
93,168
93,171
93,172
93,182
93,184
93,188
93,201
93,204
93,206
94,95
94,113
94,148
94,168
94,171
95,96
95,159
95,168
95,171
95,185
96,171
96,218
97,98
97,99
97,100
97,101
97,102
97,107
97,108
97,130
97,131
97,133
97,134
97,135
97,136
97,137
97,138
97,139
97,152
97,205
98,99
98,100
98,101
98,102
98,107
98,130
98,131
98,133
98,134
98,135
98,136
98,137
98,138
98,139
98,143
98,152
99,100
99,101
99,102
99,107
99,109
99,119
99,120
99,122
99,130
99,131
99,133
99,134
99,135
99,136
99,139
99,140
99,145
99,147
99,148
99,155
99,163
100,101
100,102
100,103
100,107
100,108
100,109
100,116
100,119
100,120
100,122
100,130
100,131
100,132
100,133
100,134
100,135
100,138
100,139
100,140
100,142
100,143
100,144
100,145
100,150
100,157
101,102
101,103
101,106
101,107
101,108
101,116
101,119
101,120
101,130
101,131
101,133
101,134
101,135
101,136
101,137
101,138
101,139
101,140
101,141
101,142
101,143
101,144
101,145
101,146
101,147
101,157
102,103
102,107
102,109
102,119
102,120
102,130
102,131
102,132
102,133
102,134
102,135
102,136
102,137
102,138
102,139
102,140
102,143
102,145
102,147
102,163
103,105
103,109
103,119
103,120
103,122
103,134
103,135
103,141
103,145
103,154
103,157
103,173
104,110
104,111
104,112
104,113
104,114
104,115
104,117
104,118
104,123
104,125
104,159
104,171
104,174
105,106
105,113
105,148
106,110
106,116
106,118
106,120
106,138
106,142
106,144
106,148
106,150
106,151
106,155
106,158
106,159
106,163
106,164
106,171
106,174
106,182
106,202
107,108
107,119
107,130
107,131
107,133
107,134
107,136
107,137
107,138
107,145
108,114
108,116
108,120
108,145
108,167
109,119
109,122
109,144
109,145
109,148
109,151
109,202
110,111
110,112
110,113
110,115
110,116
110,117
110,118
110,123
110,124
110,125
110,153
110,159
110,171
110,174
110,176
110,178
111,112
111,113
111,114
111,115
111,116
111,117
111,118
111,123
111,124
111,153
111,159
111,176
111,178
111,186
112,113
112,114
112,115
112,116
112,117
112,118
112,123
112,124
112,125
112,153
112,166
112,169
112,172
112,174
112,176
112,178
112,179
113,114
113,115
113,116
113,117
113,118
113,123
113,124
113,125
113,148
113,153
113,166
113,168
113,171
113,172
113,174
113,176
113,179
114,115
114,117
114,118
114,123
114,148
114,153
114,161
114,166
114,175
114,176
114,185
115,116
115,117
115,118
115,123
115,124
115,125
115,153
115,159
115,166
115,171
115,172
115,174
115,179
116,117
116,118
116,123
116,124
116,142
116,172
116,176
116,178
116,179
117,123
117,124
117,153
117,166
117,171
117,174
117,176
117,177
117,178
117,179
118,123
118,125
118,134
118,142
118,152
118,171
118,174
118,178
119,130
119,131
119,133
119,134
119,135
119,137
119,138
119,139
119,140
119,145
119,147
119,158
120,135
120,139
120,140
120,141
120,144
120,145
120,146
120,148
120,150
120,151
120,155
121,132
121,133
121,135
121,140
121,144
122,135
122,139
122,141
122,144
122,148
122,154
122,155
122,157
122,160
122,163
122,186
123,124
123,126
123,153
123,174
123,175
123,176
123,188
123,207
124,126
124,153
124,174
124,176
124,177
124,178
124,188
124,207
125,174
125,176
125,179
126,172
126,177
127,128
127,153
127,157
127,177
127,204
127,206
128,153
128,157
128,204
128,206
129,222
130,131
130,132
130,133
130,134
130,135
130,136
130,137
130,139
131,133
131,134
131,135
131,138
131,139
132,133
132,135
132,139
132,140
132,144
133,134
133,135
133,136
133,137
133,138
133,139
133,140
133,141
134,135
134,136
134,137
134,138
134,139
134,140
134,141
134,142
134,143
134,144
134,145
134,146
134,147
135,137
135,138
135,139
135,140
135,141
135,143
135,144
135,145
135,147
135,148
135,149
135,150
135,151
135,163
136,137
136,143
136,187
136,212
137,139
137,140
139,140
139,147
140,144
141,142
141,143
141,144
141,146
141,154
141,155
141,160
141,163
141,186
142,143
142,145
142,146
142,148
142,166
142,178
143,144
143,146
143,156
143,163
144,148
144,149
144,150
144,158
144,166
145,158
145,164
145,167
146,148
146,168
146,169
147,182
148,150
148,151
148,154
148,156
148,160
148,161
148,162
148,163
148,164
148,165
148,166
148,175
148,178
150,151
150,200
150,210
151,160
151,163
151,164
151,166
151,202
152,171
153,157
153,172
153,176
153,178
153,206
154,155
154,160
154,186
154,205
156,157
156,166
156,175
156,185
157,161
157,162
157,169
157,177
157,178
157,204
157,206
158,163
158,164
158,167
159,163
159,171
159,174
159,181
159,185
160,170
160,186
161,166
161,175
161,185
162,178
163,164
163,199
164,167
165,187
165,190
165,212
165,221
166,175
166,176
166,178
166,179
166,185
168,169
168,182
168,208
169,177
169,179
169,206
169,207
171,172
172,177
173,181
173,208
174,188
175,185
176,178
176,179
177,179
177,184
180,181
180,183
180,191
180,192
180,194
180,195
180,197
180,198
180,199
181,191
181,193
181,195
181,196
181,197
181,198
182,208
183,199
187,200
187,212
187,215
187,216
187,219
187,221
189,190
189,218
191,193
191,194
191,195
191,196
191,197
191,198
192,195
192,196
192,198
193,194
193,195
193,196
193,197
193,198
194,195
194,196
194,197
194,198
195,196
195,197
195,198
195,199
196,197
196,198
197,198
197,199
200,212
204,206
209,210
211,212
212,213
212,215
212,216
212,219
213,214
215,219
220,221
221,223
